Date,Country,City,Specie,median
2018-12-31,KR,Seoul,no2,42.6
2019-01-01,KR,Seoul,no2,27.8
2019-01-02,KR,Seoul,no2,36.2
2019-01-03,KR,Seoul,no2,43.6
2019-01-04,KR,Seoul,no2,55.5
2019-01-05,KR,Seoul,no2,29.7
2019-01-06,KR,Seoul,no2,35.2
2019-01-07,KR,Seoul,no2,47.3
2019-01-08,KR,Seoul,no2,24.1
2019-01-09,KR,Seoul,no2,34.3
2019-01-10,KR,Seoul,no2,45.4
2019-01-11,KR,Seoul,no2,48.2
2019-01-12,KR,Seoul,no2,53.3
2019-01-13,KR,Seoul,no2,47.3
2019-01-14,KR,Seoul,no2,60.9
2019-01-15,KR,Seoul,no2,28.8
2019-01-16,KR,Seoul,no2,24.1
2019-01-17,KR,Seoul,no2,34.3
2019-01-18,KR,Seoul,no2,48.2
2019-01-19,KR,Seoul,no2,53.3
2019-01-20,KR,Seoul,no2,16.7
2019-01-21,KR,Seoul,no2,34.3
2019-01-22,KR,Seoul,no2,42.6
2019-01-23,KR,Seoul,no2,38.9
2019-01-24,KR,Seoul,no2,38.9
2019-01-25,KR,Seoul,no2,31.5
2019-01-26,KR,Seoul,no2,18.6
2019-01-27,KR,Seoul,no2,30.6
2019-01-28,KR,Seoul,no2,20.4
2019-01-29,KR,Seoul,no2,39.9
2019-01-30,KR,Seoul,no2,51.1
2019-01-31,KR,Seoul,no2,24.1
2019-02-01,KR,Seoul,no2,29.7
2019-02-02,KR,Seoul,no2,39.9
2019-02-03,KR,Seoul,no2,26.9
2019-02-04,KR,Seoul,no2,15.8
2019-02-05,KR,Seoul,no2,34.3
2019-02-06,KR,Seoul,no2,39.9
2019-02-07,KR,Seoul,no2,15.8
2019-02-08,KR,Seoul,no2,26.0
2019-02-09,KR,Seoul,no2,16.7
2019-02-10,KR,Seoul,no2,25.1
2019-02-11,KR,Seoul,no2,24.1
2019-02-12,KR,Seoul,no2,35.2
