Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,615777700,7900.115614758343,2674215,34.308822288824345,171391,6527192,83.74056325801622,8004,0.10268726097181782,662,
United States of America,Americas,95112569,28734.685,299191,90.389,10855,1048387,316.731,2656,0.802,12
India,South-East Asia,44599466,3231.835,23993,1.739,1968,528716,38.313,154,0.011,15
Brazil,Americas,34679533,16315.218,47313,22.259,1023,686320,322.884,515,0.242,66
France,Europe,34444173,52958.968,317348,487.932,7264,151621,233.122,233,0.358,60
Germany,Europe,33386229,40143.741,311268,374.27,0,150064,180.438,56,0.067,0
Republic of Korea,Western Pacific,24848184,48466.119,174554,340.466,16423,28528,55.644,256,0.499,19
The United Kingdom,Europe,23672855,34871.481,19602,28.875,0,190317,280.348,24,0.035,0
Italy,Europe,22542568,37796.79,228956,383.887,13316,177197,297.104,285,0.478,47
Japan,Western Pacific,21345939,16877.401,227614,179.966,15167,45018,35.594,555,0.439,53
Russian Federation,Europe,21094872,14455.031,225158,154.287,21687,387666,265.644,723,0.495,107
Türkiye,Europe,16873793,20007.09,0,0,0,101139,119.92,0,0,0
Spain,Europe,13422984,28358.848,19482,41.16,0,114179,241.227,170,0.359,0
Viet Nam,Western Pacific,11481314,11795.235,7581,7.788,796,43149,44.329,3,0.003,0
Australia,Western Pacific,10191312,39966.111,0,0,0,14853,58.247,0,0,0
Argentina,Americas,9711355,21487.308,2935,6.494,0,129937,287.498,40,0.089,0
Netherlands,Europe,8430861,48432.112,11149,64.047,0,22650,130.116,10,0.057,0
China,Western Pacific,7787140,529.274,312047,21.209,34909,26609,1.809,365,0.025,41
Iran (Islamic Republic of),Eastern Mediterranean,7550021,8988.875,2624,3.124,435,144448,171.976,46,0.055,9
Mexico,Americas,7090330,5499.247,3209,2.489,0,330131,256.049,23,0.018,0
Indonesia,South-East Asia,6437570,2353.57,11721,4.285,1851,158156,57.822,99,0.036,13
Colombia,Americas,6307372,12395.86,820,1.612,0,141794,278.667,25,0.049,0
Poland,Europe,6302275,16603.225,21745,57.287,4619,117631,309.897,150,0.395,33
