ja,it,da,tr,no,en,sr,sv,nl,de,fr,ca,ko,fi,total,date
182122.0,77640.0,4067.0,16321.0,5386.0,1519066.0,2334.0,12743.0,32902.0,209406.0,124421.0,2601.0,14987.0,9054.0,2213050.0,2015-07-01
201826.0,72749.0,3874.0,15493.0,5663.0,1438586.0,2310.0,13477.0,30745.0,204013.0,114584.0,2876.0,13309.0,8739.0,2128244.0,2015-07-02
170885.0,68917.0,3758.0,15131.0,5297.0,1293716.0,1938.0,13601.0,25835.0,176506.0,105264.0,2321.0,15551.0,8254.0,1906974.0,2015-07-03
154506.0,59069.0,3891.0,32832.0,5101.0,1167907.0,1860.0,16422.0,26814.0,159996.0,99934.0,2328.0,12892.0,7924.0,1751476.0,2015-07-04
181196.0,67898.0,5367.0,18967.0,6428.0,1331215.0,2465.0,18411.0,35109.0,217275.0,112298.0,3086.0,14841.0,10258.0,2024814.0,2015-07-05
193332.0,74940.0,5699.0,18291.0,7533.0,1540744.0,2684.0,19085.0,29829.0,227582.0,116941.0,5173.0,13713.0,10858.0,2266404.0,2015-07-06
195927.0,73667.0,4920.0,16258.0,7131.0,1520462.0,2906.0,17709.0,30252.0,228197.0,120533.0,4177.0,13294.0,11451.0,2246884.0,2015-07-07
180593.0,74129.0,4667.0,14955.0,6698.0,1484706.0,2349.0,18567.0,29311.0,228329.0,110199.0,4327.0,11150.0,9723.0,2179703.0,2015-07-08
188150.0,86402.0,4700.0,14813.0,6193.0,1489946.0,2033.0,17871.0,26286.0,209919.0,97630.0,2727.0,10817.0,10601.0,2168088.0,2015-07-09
161811.0,72607.0,4439.0,14850.0,6390.0,1553835.0,2077.0,16236.0,25313.0,187137.0,94053.0,2555.0,11899.0,9039.0,2162241.0,2015-07-10
142853.0,62944.0,4218.0,15342.0,5551.0,1286991.0,1552.0,16630.0,24364.0,152916.0,92722.0,1893.0,16208.0,8226.0,1832410.0,2015-07-11
172850.0,70264.0,6571.0,18512.0,6487.0,1556047.0,1766.0,23841.0,31272.0,191824.0,108771.0,1804.0,23596.0,11073.0,2224678.0,2015-07-12
209155.0,79980.0,4894.0,14004.0,6222.0,1644417.0,1722.0,19426.0,28762.0,225468.0,114815.0,2894.0,18839.0,9972.0,2380570.0,2015-07-13
214008.0,77550.0,4816.0,15723.0,6405.0,1693934.0,2176.0,19792.0,28619.0,223364.0,114595.0,3346.0,15011.0,11111.0,2430450.0,2015-07-14
216072.0,73871.0,5339.0,13429.0,6056.0,1574341.0,1985.0,17956.0,26628.0,212659.0,116732.0,3239.0,12985.0,10840.0,2292132.0,2015-07-15
253486.0,74607.0,4411.0,12199.0,6552.0,1517139.0,1780.0,20629.0,24984.0,199101.0,108836.0,2808.0,12209.0,10608.0,2249349.0,2015-07-16
194849.0,69553.0,4394.0,10042.0,6294.0,1379700.0,1744.0,16901.0,24242.0,186109.0,100602.0,2683.0,10381.0,10844.0,2018338.0,2015-07-17
163669.0,62746.0,4424.0,11388.0,7104.0,1254598.0,1641.0,18942.0,23558.0,187542.0,96665.0,2003.0,10016.0,9477.0,1853773.0,2015-07-18
162597.0,69077.0,11404.0,13971.0,8482.0,1492773.0,2624.0,21579.0,31653.0,212418.0,117921.0,3181.0,10548.0,12026.0,2170254.0,2015-07-19
184122.0,71552.0,4908.0,12738.0,6138.0,1545103.0,1988.0,18297.0,26923.0,205465.0,113917.0,3261.0,9861.0,9612.0,2213885.0,2015-07-20
191856.0,73345.0,5383.0,13060.0,6876.0,1503408.0,1899.0,17915.0,26022.0,211672.0,109038.0,3203.0,10457.0,9986.0,2184120.0,2015-07-21
201796.0,69999.0,4501.0,12445.0,5982.0,1509935.0,1872.0,16521.0,23826.0,200476.0,108248.0,2948.0,10701.0,9990.0,2179240.0,2015-07-22
186395.0,68330.0,4744.0,13061.0,6390.0,1524811.0,1749.0,17347.0,25353.0,186709.0,100318.0,2655.0,14654.0,10228.0,2162744.0,2015-07-23
143196.0,63484.0,4374.0,13015.0,6211.0,1353172.0,1978.0,16707.0,25778.0,183217.0,96122.0,2345.0,11942.0,9216.0,1930757.0,2015-07-24
121263.0,57553.0,4963.0,11377.0,6667.0,1230705.0,1476.0,20951.0,31490.0,183672.0,89227.0,2037.0,12493.0,8566.0,1782440.0,2015-07-25
151195.0,67184.0,4617.0,11630.0,7229.0,1402971.0,1450.0,19264.0,26298.0,180850.0,109683.0,2183.0,10326.0,10352.0,2005232.0,2015-07-26
213490.0,71131.0,4723.0,12675.0,6646.0,1488580.0,1797.0,16272.0,30308.0,190317.0,106177.0,2980.0,9286.0,9711.0,2164093.0,2015-07-27
156684.0,66723.0,5897.0,12291.0,7714.0,1521917.0,1811.0,17267.0,31511.0,189515.0,112180.0,3515.0,8372.0,9192.0,2144589.0,2015-07-28
152011.0,63588.0,5161.0,17597.0,6811.0,1542383.0,1918.0,28799.0,29785.0,186213.0,108227.0,2822.0,7961.0,10147.0,2163423.0,2015-07-29
156358.0,63194.0,4416.0,19381.0,6003.0,1499450.0,2085.0,23633.0,26763.0,174391.0,108713.0,2955.0,7847.0,9771.0,2104960.0,2015-07-30
125358.0,61015.0,4190.0,13572.0,6321.0,1325911.0,1360.0,17821.0,23659.0,148247.0,100444.0,2330.0,7806.0,8721.0,1846755.0,2015-07-31
97659.0,56467.0,3960.0,12844.0,5738.0,1182941.0,1450.0,15658.0,22199.0,147161.0,92221.0,2105.0,6140.0,7967.0,1654510.0,2015-08-01
115062.0,58633.0,4069.0,12863.0,6277.0,1313321.0,1658.0,17908.0,25918.0,169614.0,107871.0,1972.0,6363.0,8700.0,1850229.0,2015-08-02
141411.0,58565.0,3873.0,13962.0,5297.0,1366643.0,1731.0,16277.0,24266.0,163649.0,104830.0,2718.0,9179.0,8219.0,1920620.0,2015-08-03
201666.0,62807.0,5157.0,14542.0,9098.0,1533994.0,2273.0,18356.0,29459.0,184293.0,112746.0,2946.0,11851.0,10321.0,2199509.0,2015-08-04
194254.0,61480.0,6137.0,14734.0,6794.0,1501148.0,2106.0,19231.0,27185.0,181270.0,113222.0,3236.0,12407.0,9398.0,2152602.0,2015-08-05
184946.0,61855.0,4489.0,13500.0,6047.0,1554954.0,1969.0,17781.0,30747.0,181758.0,117476.0,2698.0,12149.0,10360.0,2200729.0,2015-08-06
214393.0,58749.0,5399.0,13911.0,6387.0,1629100.0,1977.0,16720.0,25780.0,179836.0,105793.0,2726.0,11611.0,8852.0,2281234.0,2015-08-07
181349.0,55852.0,5537.0,13274.0,6188.0,1207760.0,1702.0,17367.0,24537.0,177957.0,101347.0,2227.0,12125.0,9215.0,1816437.0,2015-08-08
175388.0,60734.0,4635.0,13640.0,6717.0,1395376.0,1797.0,16946.0,29490.0,184233.0,124241.0,1935.0,10215.0,9698.0,2035045.0,2015-08-09
220559.0,65146.0,5345.0,13366.0,6096.0,1453881.0,2131.0,16153.0,29877.0,186371.0,103953.0,2930.0,9985.0,8814.0,2124607.0,2015-08-10
209550.0,63585.0,7651.0,13924.0,6346.0,1550171.0,1772.0,16896.0,28544.0,191442.0,116810.0,2817.0,9818.0,9335.0,2228661.0,2015-08-11
195802.0,64205.0,8859.0,13430.0,5427.0,1560771.0,2024.0,16679.0,28036.0,193135.0,115553.0,2678.0,9473.0,10373.0,2226445.0,2015-08-12
188326.0,61501.0,9609.0,16299.0,6124.0,1481918.0,1881.0,18989.0,28949.0,184703.0,116551.0,2757.0,9377.0,11234.0,2138218.0,2015-08-13
185554.0,60494.0,8460.0,13466.0,6306.0,1442808.0,1809.0,17395.0,32285.0,179305.0,110749.0,2593.0,9150.0,10663.0,2081037.0,2015-08-14
261308.0,60966.0,5305.0,13049.0,6200.0,1344493.0,1977.0,15920.0,27882.0,175213.0,104706.0,2173.0,9830.0,9686.0,2038708.0,2015-08-15
237388.0,77461.0,6234.0,25369.0,6791.0,1446777.0,2304.0,17617.0,41933.0,197452.0,132161.0,2329.0,11889.0,11520.0,2217225.0,2015-08-16
243972.0,77617.0,11656.0,53789.0,7242.0,1585968.0,2149.0,18010.0,33483.0,226362.0,116280.0,3043.0,11660.0,12763.0,2403994.0,2015-08-17
232443.0,75248.0,12535.0,18501.0,8013.0,1618658.0,2319.0,18578.0,28382.0,207987.0,115914.0,3338.0,11409.0,12018.0,2365343.0,2015-08-18
209713.0,75706.0,11099.0,14580.0,7497.0,1580018.0,2114.0,18718.0,26334.0,195834.0,118145.0,2958.0,11116.0,12991.0,2286823.0,2015-08-19
168727.0,72261.0,10194.0,12145.0,8332.0,1579248.0,1816.0,19225.0,25689.0,180680.0,108388.0,2984.0,10560.0,11511.0,2211760.0,2015-08-20
181955.0,71829.0,8669.0,12755.0,7858.0,1485208.0,1970.0,17896.0,25759.0,161863.0,107612.0,2712.0,8387.0,11244.0,2105717.0,2015-08-21
179307.0,68502.0,4668.0,12574.0,5555.0,1282403.0,2106.0,21373.0,20994.0,162963.0,100148.0,2402.0,9205.0,9723.0,1881923.0,2015-08-22
252677.0,72358.0,5976.0,13344.0,6836.0,1499054.0,1974.0,19411.0,28530.0,179013.0,123153.0,2395.0,11689.0,10783.0,2227193.0,2015-08-23
285827.0,81062.0,11155.0,13704.0,10955.0,1614802.0,2308.0,23800.0,37813.0,202026.0,133857.0,3350.0,16162.0,13070.0,2449891.0,2015-08-24
234123.0,75304.0,12718.0,13972.0,11890.0,1642235.0,2574.0,25000.0,36545.0,195834.0,142423.0,4081.0,15393.0,14246.0,2426338.0,2015-08-25
198103.0,74806.0,11520.0,13996.0,12212.0,1708771.0,2379.0,25494.0,41974.0,186309.0,127498.0,3670.0,10175.0,14654.0,2431561.0,2015-08-26
179606.0,75956.0,11389.0,13719.0,12291.0,1609991.0,2451.0,26210.0,34873.0,197199.0,119330.0,3421.0,10243.0,14612.0,2311291.0,2015-08-27
166107.0,71740.0,8906.0,13142.0,9567.0,1601750.0,2118.0,23306.0,27376.0,167122.0,107807.0,3695.0,8832.0,14223.0,2225691.0,2015-08-28
168387.0,65951.0,4388.0,12621.0,6347.0,1393527.0,1953.0,17007.0,23041.0,162086.0,96161.0,2592.0,8486.0,10608.0,1973155.0,2015-08-29
177549.0,90440.0,6184.0,12709.0,8198.0,1544944.0,2103.0,19706.0,33919.0,181001.0,113258.0,3992.0,10122.0,12925.0,2217050.0,2015-08-30
198571.0,81365.0,11890.0,13270.0,12972.0,1740786.0,2214.0,26453.0,41867.0,194698.0,118320.0,5402.0,11136.0,15940.0,2474884.0,2015-08-31
175386.0,73502.0,11673.0,13481.0,13980.0,1677747.0,2559.0,27825.0,34955.0,208238.0,117233.0,4454.0,10338.0,14984.0,2386355.0,2015-09-01
166792.0,74783.0,12914.0,15350.0,14314.0,1676452.0,3596.0,31527.0,33197.0,196760.0,130395.0,3935.0,10564.0,17601.0,2388180.0,2015-09-02
171773.0,73871.0,11396.0,13072.0,13520.0,1731017.0,4063.0,30326.0,35503.0,195620.0,127294.0,3566.0,9598.0,15694.0,2436313.0,2015-09-03
162493.0,70128.0,9592.0,12834.0,10567.0,1497533.0,3207.0,24840.0,34320.0,200924.0,114423.0,3689.0,8562.0,13221.0,2166333.0,2015-09-04
168136.0,65928.0,5555.0,12909.0,6964.0,1274096.0,3181.0,22981.0,26534.0,173124.0,124762.0,2522.0,10077.0,11420.0,1908189.0,2015-09-05
172733.0,64970.0,7052.0,12349.0,8227.0,1447362.0,3837.0,30861.0,31782.0,185429.0,132381.0,2392.0,11111.0,12989.0,2123475.0,2015-09-06
190399.0,90990.0,12083.0,13808.0,15078.0,1713788.0,4192.0,31319.0,38577.0,196144.0,142999.0,2538.0,12286.0,15863.0,2480064.0,2015-09-07
211310.0,73646.0,11971.0,12724.0,15492.0,2002526.0,4890.0,31916.0,38460.0,197432.0,140475.0,2814.0,11326.0,16327.0,2771309.0,2015-09-08
212508.0,73042.0,11454.0,12509.0,14784.0,1827121.0,4525.0,34798.0,33615.0,195430.0,150413.0,2292.0,11229.0,15297.0,2599017.0,2015-09-09
229836.0,77272.0,12192.0,15375.0,15721.0,1861383.0,4919.0,31806.0,38440.0,218801.0,164740.0,2577.0,11199.0,16218.0,2700479.0,2015-09-10
199749.0,74364.0,10561.0,15023.0,11977.0,1750679.0,3880.0,27298.0,33505.0,211175.0,153646.0,2801.0,10290.0,15154.0,2520102.0,2015-09-11
163149.0,59596.0,5700.0,13816.0,7197.0,1465250.0,3147.0,19900.0,26904.0,187271.0,134288.0,2855.0,10532.0,10597.0,2110202.0,2015-09-12
159186.0,73291.0,7335.0,14038.0,9949.0,1564166.0,4689.0,25724.0,33455.0,209080.0,173274.0,2631.0,12539.0,13753.0,2303110.0,2015-09-13
316614.0,84730.0,13537.0,14095.0,15372.0,2463644.0,4608.0,33745.0,42623.0,224544.0,173863.0,3778.0,13493.0,18194.0,3422840.0,2015-09-14
199338.0,85476.0,13394.0,15346.0,16441.0,1896260.0,4794.0,34495.0,40828.0,212873.0,165061.0,5808.0,12012.0,17281.0,2719407.0,2015-09-15
204603.0,91937.0,12546.0,15612.0,16410.0,1752832.0,4485.0,33666.0,39682.0,218123.0,179564.0,7107.0,11443.0,15606.0,2603616.0,2015-09-16
234509.0,102564.0,12971.0,15098.0,18053.0,1885440.0,4438.0,35939.0,41859.0,239128.0,168959.0,8353.0,13435.0,16278.0,2797024.0,2015-09-17
165929.0,82114.0,10308.0,13209.0,11688.0,1587884.0,3282.0,29892.0,35320.0,185784.0,140368.0,5500.0,13019.0,13407.0,2297704.0,2015-09-18
130906.0,69794.0,4904.0,12412.0,7382.0,1300127.0,2984.0,20471.0,25976.0,174803.0,124965.0,6810.0,8681.0,10651.0,1900866.0,2015-09-19
179141.0,85873.0,7621.0,13131.0,11792.0,1467184.0,4951.0,28370.0,34462.0,208347.0,167649.0,7790.0,11859.0,14488.0,2242658.0,2015-09-20
139850.0,96810.0,14581.0,13015.0,17459.0,1784835.0,5150.0,36131.0,41009.0,233515.0,172694.0,9717.0,11913.0,18640.0,2595319.0,2015-09-21
159037.0,95865.0,14851.0,15121.0,18250.0,1829561.0,4806.0,36796.0,40132.0,224078.0,164444.0,10441.0,12171.0,17593.0,2643146.0,2015-09-22
168553.0,97133.0,13777.0,12443.0,16910.0,1763477.0,4991.0,34558.0,37047.0,256766.0,158725.0,8940.0,10728.0,17811.0,2601859.0,2015-09-23
188347.0,93280.0,12743.0,10900.0,16352.0,1733762.0,4439.0,33160.0,37421.0,232147.0,153185.0,8450.0,9466.0,16273.0,2549925.0,2015-09-24
159113.0,86085.0,10289.0,11771.0,11979.0,1738838.0,3226.0,26223.0,30844.0,200567.0,139287.0,5858.0,6675.0,13436.0,2444191.0,2015-09-25
137294.0,85929.0,4992.0,12762.0,6782.0,1307588.0,3630.0,20589.0,24293.0,178018.0,122790.0,5835.0,7754.0,10064.0,1928320.0,2015-09-26
153695.0,84933.0,6533.0,15721.0,8896.0,1545512.0,5004.0,24960.0,42325.0,191194.0,167443.0,8191.0,5958.0,14138.0,2274503.0,2015-09-27
170209.0,97464.0,13207.0,19281.0,12554.0,1930051.0,4482.0,35016.0,41253.0,263201.0,182327.0,9676.0,8668.0,16581.0,2803970.0,2015-09-28
159804.0,96727.0,13321.0,33451.0,13231.0,2017056.0,5020.0,35814.0,41848.0,228321.0,181961.0,10301.0,12282.0,16608.0,2865745.0,2015-09-29
155535.0,91955.0,13320.0,33332.0,12888.0,1919526.0,4729.0,35499.0,41314.0,218284.0,178356.0,11275.0,11725.0,15616.0,2743354.0,2015-09-30
170036.0,94980.0,13597.0,27122.0,12591.0,1961679.0,4150.0,34443.0,40834.0,220230.0,165824.0,10076.0,10948.0,14787.0,2781297.0,2015-10-01
147639.0,85242.0,10875.0,19128.0,10834.0,1754652.0,2971.0,27884.0,33399.0,165769.0,141747.0,6352.0,9336.0,13702.0,2429530.0,2015-10-02
130107.0,70808.0,5552.0,28846.0,7237.0,1397260.0,3252.0,19890.0,27913.0,190164.0,146973.0,6329.0,9709.0,9805.0,2053845.0,2015-10-03
154689.0,84931.0,7914.0,36009.0,10930.0,1605288.0,4644.0,26456.0,38469.0,204619.0,179427.0,9695.0,11926.0,13382.0,2388379.0,2015-10-04
156110.0,95419.0,12983.0,33121.0,12888.0,1955205.0,4256.0,36513.0,42778.0,208534.0,184660.0,10237.0,11500.0,15743.0,2779947.0,2015-10-05
159178.0,99813.0,14002.0,36111.0,13838.0,2030867.0,4606.0,37531.0,41924.0,225710.0,180908.0,11330.0,11583.0,16855.0,2884256.0,2015-10-06
159812.0,114019.0,13311.0,35618.0,15106.0,2018978.0,4630.0,43204.0,43678.0,217940.0,187401.0,11731.0,11085.0,23117.0,2899630.0,2015-10-07
164564.0,100078.0,13672.0,35748.0,14054.0,1896517.0,4198.0,42693.0,41471.0,220175.0,163059.0,9963.0,9237.0,20931.0,2736360.0,2015-10-08
138196.0,84158.0,6900.0,25340.0,10246.0,1604607.0,2700.0,29140.0,34187.0,174169.0,140141.0,6746.0,8971.0,14033.0,2279534.0,2015-10-09
124880.0,82813.0,4534.0,31413.0,9007.0,1295358.0,3590.0,21512.0,26619.0,167748.0,133314.0,4871.0,9861.0,10140.0,1925660.0,2015-10-10
132716.0,89215.0,5593.0,41043.0,11222.0,1476118.0,4841.0,28883.0,37712.0,197953.0,176033.0,5526.0,14921.0,12795.0,2234571.0,2015-10-11
144296.0,99807.0,5812.0,34992.0,18811.0,1830203.0,4874.0,38434.0,42496.0,209044.0,176310.0,9251.0,12826.0,13934.0,2641090.0,2015-10-12
161368.0,102960.0,5706.0,34202.0,18624.0,1925010.0,4855.0,38815.0,41823.0,215965.0,172834.0,11796.0,12360.0,13749.0,2760067.0,2015-10-13
157303.0,102028.0,5980.0,33623.0,18124.0,1841963.0,5333.0,39544.0,45255.0,221477.0,203314.0,12243.0,13354.0,13057.0,2712598.0,2015-10-14
151304.0,97774.0,5379.0,31459.0,16293.0,1790369.0,4883.0,36321.0,41837.0,206911.0,175314.0,11177.0,11956.0,13989.0,2594966.0,2015-10-15
143424.0,80983.0,5360.0,21883.0,11462.0,1595014.0,3588.0,28838.0,33845.0,179038.0,142682.0,7612.0,9998.0,11109.0,2274836.0,2015-10-16
142836.0,71074.0,6090.0,27375.0,7424.0,1323539.0,3427.0,22184.0,28441.0,170343.0,120957.0,6342.0,14546.0,10432.0,1955010.0,2015-10-17
149132.0,86347.0,7531.0,33592.0,11431.0,1570291.0,4968.0,33027.0,34878.0,204861.0,152911.0,10150.0,14457.0,12642.0,2326218.0,2015-10-18
175512.0,95590.0,13706.0,35218.0,17010.0,1988192.0,5355.0,39920.0,38501.0,219047.0,169590.0,13421.0,13749.0,14683.0,2839494.0,2015-10-19
170354.0,97184.0,13817.0,32667.0,17794.0,1916204.0,4914.0,40059.0,36052.0,213126.0,161423.0,13141.0,13057.0,16205.0,2745997.0,2015-10-20
182284.0,94886.0,13732.0,32248.0,17738.0,1824056.0,4882.0,39187.0,36457.0,211731.0,156493.0,11842.0,13059.0,15080.0,2653675.0,2015-10-21
168847.0,90729.0,14029.0,31182.0,16551.0,1784089.0,4605.0,38222.0,38282.0,210386.0,151991.0,11448.0,11854.0,15808.0,2588023.0,2015-10-22
140232.0,86290.0,11505.0,24039.0,13096.0,2028232.0,3381.0,27252.0,38911.0,181181.0,135045.0,7521.0,9845.0,15419.0,2721949.0,2015-10-23
128365.0,75441.0,5645.0,26235.0,8137.0,1740559.0,3389.0,20343.0,31390.0,178768.0,119482.0,6863.0,10393.0,10992.0,2366002.0,2015-10-24
133831.0,84649.0,8236.0,29249.0,11151.0,1739275.0,4899.0,23697.0,37245.0,214799.0,151205.0,10679.0,15419.0,14080.0,2478414.0,2015-10-25
