date,en,fr,sr,ja,it,da,tr,no,sv,nl,de,ca,ko,fi
2015-08-13,247062254,20657981,464081,41351679,14796598,888417,3561073,721639,2462270,4285298,30990892,405367,2560905,1787355
2015-08-14,240888656,20513718,431646,43055713,14074767,893443,3464078,749357,2533155,4791919,29444947,372077,2638995,1738668
2015-08-15,230497886,19838712,429945,43500956,14121801,813544,3303492,726453,2473397,4484921,31035333,358071,2652376,1675685
2015-08-16,250034184,24219654,475057,45078369,16583603,905922,3494229,813746,2621806,5105043,34223022,353415,2854889,1778413
2015-08-17,261042938,21798616,501823,44732830,16157655,990847,3606144,837443,2575484,4994316,34674483,401289,2720750,1855330
2015-08-18,256559156,21643605,510177,42588963,16240019,1015839,3643745,846524,2478733,4563966,33745468,444687,2676100,1864420
2015-08-19,252688334,21052046,494894,41208366,16636743,932626,3712451,796549,2541712,4237707,32490962,401702,2546595,1835868
2015-08-20,249434064,21268457,503501,41995389,16059296,954488,3641853,821109,2605206,3989202,31491965,388261,2843404,1815331
2015-08-21,242479338,20611962,494022,40168725,15945642,828895,3557448,816067,2790038,3994575,29095089,378851,2654007,1825416
2015-08-22,230811252,20478625,472358,41534353,14936508,687817,3428986,700790,2687017,3632852,28157955,363538,2604511,3721622
2015-08-23,252886340,26049800,496982,45231645,16322258,836777,3642332,776971,2764807,4511765,30614188,381658,2689952,1915703
2015-08-24,261039667,26239616,488085,42895958,18194855,1056925,3833197,923223,2768872,4773298,34201790,457247,2653419,1970521
2015-08-25,258761786,23312766,497502,42469151,17734094,1070622,3778943,1019921,2774993,4780793,33777273,453281,2728360,1974665
2015-08-26,254101370,23032611,490204,40915409,16971205,972753,3753870,992248,2759832,4577899,31685160,428711,2494304,2038131
2015-08-27,245831137,22314156,493690,41776166,16742967,920068,4097438,979364,2795379,4651252,32698619,433345,2424891,2015567
2015-08-28,240464889,20448045,485316,41923596,16847150,826711,3822642,914247,2728638,4262942,32651774,459874,2317595,1992280
2015-08-29,230416295,19302264,446519,42192787,14773420,684067,3636532,790644,2564555,3715041,29909342,388564,2370830,1914962
2015-08-30,247881805,23358193,467257,43958521,15724352,805413,3745216,886258,2673534,4237917,31188719,562608,2560072,2062560
2015-08-31,264843035,22888184,467292,42264316,18049470,940594,3764696,990282,2777032,4599840,32309605,492817,2447358,2098123
2015-09-01,252926303,21786742,468359,40201590,17656112,904170,3875470,1023169,2794721,4466762,33334540,467776,2404574,1943542
2015-09-02,256337644,21698377,511492,39533470,17572450,915994,3768452,1018060,2800797,4549962,33360921,486696,2451106,1945008
2015-09-03,259181927,21433753,528738,39007778,17738078,908822,3680770,1020674,2830077,4765480,33294205,353426,2400085,1999136
2015-09-04,246656953,20294270,498898,39207001,16902393,891675,3641514,930718,3008955,4620255,30518079,415505,2298663,1900771
2015-09-05,240140754,22310076,528594,40966703,16645353,793584,3794381,860467,3829854,4226588,31443868,377301,2601756,1914805
2015-09-06,261547228,25296075,590322,43254336,17014218,860334,3953505,889987,4406200,4819031,32571695,334824,2693559,1999211
2015-09-07,280607166,23675029,558560,40568752,17982915,951375,3880893,1082198,3377844,5023889,34011886,377909,2697875,2130996
2015-09-08,292600143,22251685,556677,40776408,17903266,945918,4028949,1033579,2932898,4925245,33342794,396906,2648190,2017427
2015-09-09,267391872,22840358,541427,40266660,17466957,901350,4036300,989228,3110061,4885716,32732988,378401,2493882,1943810
2015-09-10,255912725,21915804,610974,37533284,17057809,912854,4082559,989560,2862575,4588836,32169839,395261,2502894,1936145
2015-09-11,258604993,20767678,605779,37534813,16745893,906893,3961124,933937,2904901,4390400,31567261,438229,2341624,1971808
2015-09-12,247387657,21923689,537474,38536337,15016844,764441,4079638,831084,2677715,4228994,30111833,386599,2494075,1837995
2015-09-13,267025866,27407100,565919,40986136,16897455,880190,4014276,942153,2918331,4888976,32497288,382038,2630970,2026896
2015-09-14,272400818,25213569,588628,39517521,17010846,997784,3864778,1148440,3069858,5150379,35323135,424185,2656918,2213651
2015-09-15,269106706,24024865,601945,38717095,16562222,1007328,3903544,1128189,3295872,5077279,33546872,491604,2578788,2183353
2015-09-16,247869373,23870196,553846,35944912,16110173,936117,3616957,1019466,2917723,4929670,32451874,519580,2434408,1954794
2015-09-17,251305605,22941013,565167,36543593,16129956,941587,3539819,1107074,2974243,5128757,32396021,602216,2420797,1960911
2015-09-18,238067221,22051902,497670,35879368,15574411,898669,3545191,938979,2901583,4654914,30332167,494534,2253839,1998882
2015-09-19,228698100,21264639,514791,35247916,14394733,740824,3443272,813771,2615226,4058740,32128019,657671,2364039,1913448
2015-09-20,253655851,26307478,742359,36879600,18448599,909764,3623251,1030336,2978838,4892466,33593838,652322,2665707,2162771
2015-09-21,266806347,25282166,692745,39740508,17340206,1051615,3523332,1157328,3049461,5087524,34499628,731626,2607271,2203312
2015-09-22,256616975,23514713,554622,40218198,16663496,1020072,3562143,1129774,3053298,4916599,33599260,683533,2466516,2087121
2015-09-23,254380575,22985442,596107,44831431,16542556,984070,3376771,1070762,2948877,4824882,33561102,674341,2524491,2081397
2015-09-24,248737740,22861925,548081,38610298,15954946,900251,2901061,1009879,2904515,4792743,32096441,673363,2296898,2123632
2015-09-25,239108699,20799508,511113,38790841,15297002,866787,3129753,886810,2823053,4316819,29644659,562968,1974391,1894843
2015-09-26,224282227,20482221,513172,38744117,16277808,723644,3393225,763034,2754121,3860086,29446289,550809,2073086,1800341
2015-09-27,245736719,26939223,612352,39333874,15969807,812158,3483478,801317,2772677,6141467,30680690,758051,1965285,2034008
2015-09-28,264016747,24259552,589438,40044571,16971090,970505,3381215,908445,2958339,4907749,33609539,814314,2468927,2071498
2015-09-29,256642184,23582813,588228,36554969,16316116,966044,3743442,932595,3020638,4774359,32895228,931406,2775180,2006900
2015-09-30,251941919,23328271,579349,35438020,15853364,948150,3922201,970840,2951863,4860711,32302724,936735,2592865,1947043
2015-10-01,238845634,22630831,540683,35984417,16161672,940052,3517652,927107,2937437,4818872,30745348,848454,2586876,1925997
2015-10-02,234121441,20891718,473687,36138546,16153578,849648,3533240,892730,2841516,4446447,28454201,657118,2353053,1825048
2015-10-03,221478394,21025425,468613,37562592,14424678,713616,3885986,770670,2626031,4290333,34107438,627656,2438546,1732018
2015-10-04,244396567,26210371,557195,39750752,16244803,816620,4192755,990555,2862932,4886215,32614374,772867,2687216,1957394
2015-10-05,259720123,24922158,561194,38217873,16777345,967765,4096249,930906,3101716,5104893,34161216,779656,2665110,2012554
2015-10-06,262502284,23411553,563760,37874022,17096766,1013884,4255724,969015,3038343,5078436,34168170,782661,2779844,1959064
2015-10-07,261144512,24118188,585997,37511503,17744514,938759,4356337,930831,3041253,5582208,34243162,814738,2638660,1959368
2015-10-08,253684153,22550147,597016,38227878,16615606,932242,4352093,968108,3069911,4919964,32778417,772983,2345793,1938200
2015-10-09,240085034,21107022,494111,36286807,15795434,774261,3865278,909535,3044282,4492249,30771848,610360,2433373,1837443
2015-10-10,228090660,21356062,540335,36209961,15741521,701132,4288091,824573,2714114,4235269,31025722,499902,2680058,1745143
2015-10-11,244687728,26335301,615957,39782099,16856016,744353,4895297,892772,2873526,4799591,32548792,545024,2770675,1906009
2015-10-12,265428342,25157163,585147,40562965,17257408,731380,4416966,1055735,3096512,5041481,33311823,714977,2730784,1960823
2015-10-13,265408182,23687488,557167,37995162,17776603,746932,4489464,1138506,3133397,5055689,33867267,824152,2790667,1938106
2015-10-14,262880270,23985465,584482,36084349,17921170,747871,4559102,1071910,3012145,5131116,33739713,820119,2780823,1905443
2015-10-15,253972086,22998368,564556,35616867,17105870,723956,4358009,1036219,2993023,5023907,33335753,780425,2578338,1855562
2015-10-16,238920598,21675499,517144,36764218,15594414,767241,3968638,958854,3013654,4659126,30830147,698550,2381115,1803400
2015-10-17,226143828,20886481,499123,37644837,14701304,780310,4221972,829752,3028113,4260968,31305401,579046,2534482,1836114
2015-10-18,249614981,26048696,559290,39505167,16636364,854703,4606622,885459,3014146,5001129,33344634,714275,2844347,1960468
2015-10-19,266948319,25387831,632061,38331863,16684576,977752,4280501,1077599,3194814,5019349,35206918,912652,2767749,2026365
2015-10-20,268204292,24673480,586937,37865937,16490908,972101,4272695,1086464,3164520,4859030,34412928,884313,2844862,1976550
2015-10-21,259478470,23405635,564164,37632748,16402031,956335,4498974,1079393,3052553,4941651,34186488,806297,2680444,1988557
2015-10-22,258182519,22923151,575513,36537400,16243909,951184,4444666,1063781,2989675,4971103,34390571,814385,2610952,2069207
2015-10-23,248363326,21510764,496702,36254564,15217278,930619,4297344,967393,2822109,4595196,30903719,665213,2348685,1933167
2015-10-24,230870391,21075437,493407,36150043,14204702,800602,4554290,830032,3058971,4492076,30852191,599171,2482169,1836238
2015-10-25,251712929,25678312,578386,37014617,16105491,871151,4720209,913119,2970851,5205563,34676384,732599,2702896,2090851
2015-10-26,264693228,26860731,566179,36753014,16208773,1012824,4247580,1074466,2800928,5220684,35798862,861233,2612854,2088602
2015-10-27,263104847,24535483,562102,37377317,16414432,978400,4238503,1093310,2787882,5105464,34382639,881318,2705761,2085772
2015-10-28,257566202,24302791,552449,35825062,16309619,932698,4206396,1090537,2681157,5274338,33768473,854385,2669252,2003701
2015-10-29,254951606,23918932,562845,35505935,15858912,928925,4571763,988557,2622860,5030104,33527529,817148,2496432,1983996
2015-10-30,242440748,22982944,503451,35880395,15035807,869927,4412435,973199,2796133,4634632,30772029,709240,2302738,1956251
2015-10-31,228390193,21871288,507105,34330229,13883389,735742,4507669,857640,2827003,4386729,30556397,604328,2369106,1887410
2015-11-01,244925316,27501280,588756,35800729,16198553,929393,4880126,919056,3097251,5348811,33736012,769082,2680489,2032378
2015-11-02,266333615,26876197,608408,38970051,17257011,1034099,4735918,1106602,3153236,5238974,35493907,1200401,2639274,2085978
2015-11-03,257036022,24572405,572182,38350837,16654658,945377,4311086,1106930,3062057,5093147,34409870,1002637,2645112,2016857
2015-11-04,258720015,25302929,591566,36104050,16870540,953721,4440146,1163682,3120779,5245699,35014709,973465,2628362,2055521
2015-11-05,259982859,24610693,557329,36469398,16833392,922953,4341716,1101977,3104369,5099934,33890455,951638,2540792,1982616
2015-11-06,245378536,23060509,510567,37008205,16317049,855569,4019085,1020671,3164087,4920743,31755599,759288,2476818,1961894
2015-11-07,230285363,23191521,511564,38775620,15018767,849943,4436744,845000,3257003,4986969,32845323,715528,2681636,1871995
2015-11-08,252451540,28456441,558230,42091237,17404391,857317,5081197,960957,3072196,5762782,36100251,1009167,2963249,2133021
2015-11-09,269146272,26203827,587722,39937664,18119709,1027053,4690249,1123972,3292200,6051640,38173444,1088865,2842279,2123499
2015-11-10,260477670,23747888,566806,38466106,17527571,994097,4785946,1102411,3148157,5681041,37618159,993723,2701252,2067192
2015-11-11,253035102,27213857,595216,37632726,17293325,966623,4860336,1108014,3068098,5516678,36862040,1005313,2595344,2044783
2015-11-12,254436694,24191779,563448,36855182,16803551,926879,6926250,1092717,3060052,5298584,35895957,999118,2506382,2014098
2015-11-13,237123478,23280359,547618,37435788,15930174,874899,5239300,946966,2981439,4726629,33058574,861346,2494820,1928055
2015-11-14,227440576,22784905,598559,38377355,15359405,799227,5019041,844825,2994344,4611787,33931411,783650,2481071,1870449
2015-11-15,252710366,27638044,678148,38718450,18371198,864006,5693147,934012,3042264,5376780,38667000,879166,2687253,2089342
2015-11-16,264104145,26117437,663787,38830891,18140127,1006839,4892106,1113159,3179878,5298704,38833454,996905,2738689,2266678
2015-11-17,261775991,26472690,653027,38824050,17911518,1021661,4893140,1116647,3279973,5192247,37533768,1032720,2756059,2217265
2015-11-18,258249617,24701632,661659,38344809,17846763,988867,4893784,1080011,3049796,5157664,38041345,1106481,2758326,2136232
2015-11-19,254057860,24046775,628408,36617930,17323890,947159,5531323,1068130,3077318,5158472,36492168,1091228,2873832,2130722
2015-11-20,241774193,22619121,561598,35414893,16743919,895151,4587528,973513,3036391,4741882,33103653,794544,2511489,1951237
2015-11-21,229454848,23516715,596244,36578682,15974572,743139,4719424,813329,2853476,4494720,30390335,838188,2571884,1828170
2015-11-22,250837316,27071183,700094,38414692,17626880,845084,5279750,948726,3009180,5469193,37352922,867073,2899478,2040385
2015-11-23,262154748,25697290,675639,41730078,17753792,976097,4805410,1096450,3051600,5148872,37735477,952935,2695207,2169834
2015-11-24,256203864,25517699,786267,39338411,17364171,1028042,5027739,1129115,3085441,5357155,36460113,1052680,2675451,2213327
2015-11-25,244123520,25010134,683335,36438427,16958962,951386,5500972,1102443,3073495,5268442,36200425,760687,2631856,2094578
2015-11-26,239140879,24053804,691317,35158589,16896161,934101,5790097,1066217,3045770,4973879,35059405,853849,2445612,2086925
2015-11-27,231815803,23503962,615879,34332174,15807747,827824,4716250,924687,2891736,4761547,32121939,554191,2209672,1924474
2015-11-28,237243517,23142350,627331,35026769,14992619,725329,5154360,828030,2828205,4487900,29962968,383484,2300231,1853988
2015-11-29,255125293,26342108,709968,36578936,17430292,847510,5534565,919364,2857285,5492524,36429370,512660,2644631,2031926
2015-11-30,268776272,26019941,662603,35857027,17458652,970106,4784371,1069997,3159296,5715016,37103645,735465,2462948,2110480
2015-12-01,259656743,24654950,667081,34782900,17249539,1061184,4787358,1123370,3244725,5434878,36348249,567205,2565788,2088085
2015-12-02,256846437,25551204,665162,37408310,16850315,1038039,4968039,1128403,3331952,5378020,36585175,511662,2585522,2056041
2015-12-03,250181767,23805959,656984,35830555,16887585,1012732,5106267,1077602,3378763,5310051,36749028,646428,2528668,2051639
2015-12-04,243147022,22699501,589173,36151176,15415440,919275,4314161,1041135,3524452,4889621,34907825,917355,2306318,1901628
2015-12-05,226949236,22027355,604521,35279478,14418937,827283,4731309,862085,3421556,4552702,30991086,267356,2443353,1844209
2015-12-06,250874359,25794959,688269,36876250,16531414,927306,5241563,1005270,3382088,5316746,37605316,297349,2655976,2691075
2015-12-07,271463314,25726688,661397,36190794,17009384,1049499,4901048,1119053,3337141,5504859,40584062,349192,2725900,2225858
2015-12-08,265208583,24918171,660439,35504722,18380854,1052481,4927269,1117649,3253969,5181242,36649444,432072,2658087,2187869
2015-12-09,260830080,24397800,672467,34906144,17180295,1052151,5270133,1121609,3129661,5091591,35998619,502229,2555665,2051940
2015-12-10,252273451,24202777,660847,35523596,16949207,1022434,5375488,1079044,3173702,4960844,34797521,500737,2468337,2030098
2015-12-11,246507757,22473391,601996,35848859,16029934,966178,4741713,1029646,2993447,4752444,31834568,549652,2167715,1922052
2015-12-12,230084048,22694100,638534,36493859,15091059,853077,5318330,859869,2822142,4441849,29689666,459359,2377690,1833239
2015-12-13,253019372,25882571,713942,39071946,17399638,950262,6002057,1021783,2963976,5208226,36389906,448284,2593622,2209150
2015-12-14,267244443,25784280,682132,37145698,17263137,1043941,5060599,1205849,3051702,5221117,38218301,488237,2593897,2307677
2015-12-15,252637187,23888348,653139,36046713,16819203,1002288,5086095,1031588,2896090,5041772,34974227,487563,2296100,2000764
2015-12-16,245121409,24553800,678317,35716185,16763601,1241149,5289736,988491,2928264,5026331,35100893,482944,2184697,1943185
2015-12-17,239877908,22723192,697390,35545058,16201988,910591,5679103,862661,2704283,4462493,33831853,422930,2091320,1869726
2015-12-18,225118505,20900816,666837,35007597,15045780,770174,4775997,820013,2578824,4144501,31911584,322976,1795503,1740362
2015-12-19,214182461,20556061,695529,34808989,14105206,990376,5357658,818414,2696461,4142772,28476421,282704,1776243,1780796
2015-12-20,229191823,22917342,649061,35274528,15788032,1029402,5982503,900912,2676686,4553451,34164718,347942,2044009,1918182
2015-12-21,242870461,23425171,645244,34955838,15755179,740287,5248956,810197,2476130,4634877,32859293,331596,2017627,1835058
2015-12-22,233938580,22191631,687681,33717746,15058503,691031,5246419,752140,2377686,4627032,30984381,295004,2027988,1796055
2015-12-23,222171594,21976888,672966,36814563,13939453,688314,5365017,806386,2403631,4410603,28615711,273219,1943041,1685100
2015-12-24,207005981,19695900,724385,33953186,12641103,706358,5678039,801403,2521756,4437218,25213119,238821,1922320,1831928
2015-12-25,202844977,21050373,705150,35147528,13716852,863763,4698162,1049919,3222611,4798232,30849158,279816,2050941,2165648
2015-12-26,224566991,22546928,638003,37129703,16525727,833915,5240259,1052481,3443737,4925109,34407358,257713,2104777,2239041
2015-12-27,234846351,24526946,629160,35083751,17442817,946013,5698951,968637,3451346,5413658,36286053,276627,1999064,2136060
2015-12-28,248578302,25926989,584524,35735725,18218657,759921,5000671,867835,3037785,5138273,34055374,317467,1839827,1981437
2015-12-29,248974194,25987274,555472,35424506,17745427,788075,5170234,913640,3393955,4954922,33818115,361097,1875842,2046536
2015-12-30,244020967,25981093,502302,34708576,16952680,800045,4932328,927521,3031826,4771851,32330544,300997,1772860,1953180
2015-12-31,226053041,22032292,457653,38576725,13506086,704308,4394853,849489,3335927,4058705,28145453,230194,1709986,1785399
2016-01-01,234271982,24548769,565822,34696960,16829471,926091,5097933,1063564,3187139,4783214,35611984,280534,1772631,2124938
2016-01-02,258962263,26623787,739495,39353324,19589239,948999,5732443,1034448,3630113,5290035,37247376,327055,1861665,2216418
2016-01-03,265276913,29427075,688057,40762474,20503314,932744,6188459,1005270,3383832,5832927,40759806,332955,1970534,2161591
2016-01-04,269330004,28705599,690439,40693155,21161346,1028386,5507950,983947,3157876,7030346,39342075,1120302,1982557,2142510
2016-01-05,263841110,27174009,626961,41179846,20268160,1022696,5653158,1084421,3077029,6348698,37890277,323894,2081180,2407212
2016-01-06,262656618,26437555,675405,41106048,20390844,1127589,5485156,1119505,3216564,5681470,39350911,302537,2460689,2377708
2016-01-07,260283606,26921518,755860,40251656,19833529,1059154,5737966,1121561,2956181,5621445,38541102,395369,2376643,2138522
2016-01-08,252844185,26368556,708503,38942997,19387273,1020430,4901474,1080394,3165168,5168001,37233356,369152,2292239,2165986
2016-01-09,245587830,25252119,717334,39021174,18588090,864348,5078595,922344,3309550,4980438,35224890,419615,2242392,2034480
2016-01-10,267691389,29337943,743893,41989147,21723212,983140,5805099,986323,3373755,6065799,41789200,567002,2422578,2131488
2016-01-11,296901690,30044041,707220,47682117,21994088,1150583,5228250,1252087,3368507,6850176,42706234,586415,2446153,2350777
2016-01-12,272247505,27815469,727560,41634939,20795943,1082828,5234994,1147808,3254492,5766629,40478813,604723,2378183,2280941
2016-01-13,264684802,26828855,684015,38932531,19363357,1015685,5157093,1120150,3268145,5782657,39856502,546354,2631227,2128031
2016-01-14,265062630,26500632,704108,38396425,20491123,1044455,5417770,1142285,3349010,5705331,40312206,598247,2649644,2203785
2016-01-15,252608966,25023399,676676,37354891,18802131,983563,4567941,1070266,3273464,5299641,37822330,671484,2488721,2131695
2016-01-16,244441245,24222588,697206,38267955,17680410,1094025,4854011,908131,3248782,4955840,35847445,423809,2559284,1990975
2016-01-17,265446747,27416823,813078,40160264,20242433,1045427,5143044,1134146,3505131,5551424,40782687,550887,2660981,2298297
2016-01-18,276171426,27014894,784112,39485701,19813994,1127296,4799561,1213992,3420511,5793506,40534026,820546,2768137,2258900
2016-01-19,275603217,26747349,733932,39441371,20017828,1064178,4970588,1386774,3304947,5589994,40303490,587990,2808165,2236766
2016-01-20,265544825,26930933,697329,38059754,19466904,1071353,4897937,1158799,3332531,5635199,39563692,560291,2630604,2393938
2016-01-21,263782691,25817493,850169,38793334,19086078,1003627,6590301,1146707,3238171,5535532,38374315,535170,2576707,2198212
2016-01-22,258477861,24912660,711860,38511013,18630344,999937,5071735,1083587,3266924,5374411,36517331,744803,2929281,2129288
2016-01-23,248002891,24724873,762543,39693342,18101139,870786,5097911,981510,3291762,4786207,34511537,1096116,2633472,2127222
2016-01-24,271086304,27709760,783078,41591058,20015467,1027855,5748954,1080865,3417881,5849866,40925473,1026048,2756291,2218898
2016-01-25,281303675,26552984,754550,39097881,20466898,1152720,5036956,1251960,3346648,5625403,40707952,888535,2671556,2309228
2016-01-26,271010141,26155034,724190,38553790,20133706,1248081,4811982,1230091,3347365,5446935,39368499,885825,2690922,2342072
2016-01-27,268653701,27460621,721846,38745687,19605470,1055493,4801324,1263442,3258864,5605697,39131771,605985,2580096,2233010
2016-01-28,262267936,26001518,679650,37720573,19276227,1071821,4943916,1223249,3263077,5343086,38277163,530442,2584036,2193240
2016-01-29,253457572,23999166,636493,39248648,18183586,980785,4515819,1094674,3304945,4943623,35157715,405516,2534331,2156110
2016-01-30,244539875,24007602,644461,39868397,17607114,802002,4619891,946349,2970281,4693552,34219041,341133,2484753,2052988
2016-01-31,271974703,28230515,724962,39585197,19653348,905937,4819096,1005910,3233305,5493401,39767138,464847,2577632,2189408
2016-02-01,280811736,26870076,682267,38622737,20390716,1118096,4871083,1210864,3259515,5393070,40078315,503152,2551881,2171120
2016-02-02,270619588,26168132,672274,37954727,20327415,1092130,4827663,1265010,3303250,5368968,38519368,506890,2607424,2191420
2016-02-03,268496546,26878300,718637,38272786,20472532,1053215,4872899,1276092,3322095,5502691,37977810,596757,2449950,2196005
2016-02-04,262282329,25130471,708274,37593961,19009624,1040933,5106741,1158116,3263247,5156559,36577962,556373,2365657,2124382
2016-02-05,253827747,23323685,667875,37975071,17746987,906767,4740445,1071138,3274636,4719148,33748108,336328,2229796,2074964
2016-02-06,239135560,22700076,640014,38671913,17305206,802498,4768437,926732,3618808,4316994,31067628,328090,2296536,2088581
2016-02-07,262201340,26380121,706226,39645060,19970498,903918,4892521,1072930,3338338,4883614,37036334,387730,2149744,2208125
2016-02-08,280618979,26824018,720590,38686126,20855697,1031744,4855666,1219358,3333050,5263911,39769138,499553,2319702,2288827
2016-02-09,263616192,25998604,670783,38770313,20907821,988176,4677426,1224215,3289427,5325183,38142570,526421,2755979,2184410
2016-02-10,262371873,25804241,700879,37558597,21696294,979566,4892309,1188036,3392551,5117669,37365153,512095,2773249,2150049
2016-02-11,254138725,24934814,647167,39849051,20503042,938527,5023386,1148240,3142842,4927070,36325558,477938,2625273,2138124
2016-02-12,248027716,24489587,658531,40295116,19157433,869161,4727682,1082835,3236993,4858942,34218330,436321,2692674,2039435
2016-02-13,239473862,23722172,693673,41400930,18157019,852387,5194426,890245,3020664,4662727,32261215,383171,2643705,2038742
2016-02-14,257933079,26196609,673392,41996198,21105055,874932,5374161,940769,3192036,5836493,40192992,470369,2839836,2140453
2016-02-15,273788427,26353868,775954,38910452,20151994,816716,4976072,1156650,3108540,5789460,39018447,534844,2725290,2151996
2016-02-16,278932636,25416527,743157,38118001,19614769,807598,4866474,1157796,3159933,5378902,38290566,568543,2722577,2140803
2016-02-17,265903269,26070648,714397,37452439,19427041,820852,4990824,1131822,3284069,5359912,37208971,547745,2595031,2087624
2016-02-18,259079641,25987657,715192,37768294,18804674,792554,5220433,1110984,3154100,5363729,35375701,541055,2597439,2017157
