date,en,fr,sr,ja,it,da,tr,no,sv,nl,de,ca,ko,fi
2015-07-01,243497551,19395241,462795,38142909,17039149,620688,4365319,695624,2202469,3810225,31290120,445540,3358047,1629647
2015-07-02,241866978,19470179,453314,39207149,15778848,620188,4649102,680873,2171275,3819483,30301148,462956,3314333,1594841
2015-07-03,226919786,18488734,427132,38226216,15093024,632116,4362197,723915,2190780,3670352,27857389,353963,3288717,1485728
2015-07-04,226583272,18604716,395773,42095284,14058043,626434,4735562,674223,2576598,3556904,24765646,331861,3055346,1551244
2015-07-05,240912348,19362190,458444,42737808,15496983,737759,4542759,706969,2820413,5068764,30238898,367609,2632610,1782968
2015-07-06,269069794,21313738,493405,41017932,16831347,828270,4638029,823301,2916825,4380852,34295669,525607,2633461,1829042
2015-07-07,258154609,21119449,502449,40972666,16330508,795472,4250183,803797,2602158,4488872,34605989,481574,2496794,1881795
2015-07-08,251655648,20403333,458383,39472301,15662210,769230,4060870,839793,2578566,4566193,34578117,535060,2395257,1820353
2015-07-09,247520462,19149528,448987,39846300,15551821,707862,4045713,748038,2609771,4029629,33056048,408543,2339782,1783725
2015-07-10,243476493,18215131,435479,38017870,15253098,669861,3982536,708291,2587387,3819745,29501784,375481,2266481,1746955
2015-07-11,230702775,17279496,431657,38461087,14068396,614171,3971508,697176,2505440,3627909,26034582,321705,2302809,1717950
2015-07-12,252692016,19720970,436506,40502463,14951384,848698,4249292,770127,2696797,4650189,31879487,359787,2647530,1899110
2015-07-13,261379918,20134389,432050,39839522,16608059,669860,3927076,734756,2510087,4533549,37052654,436535,2448897,1828990
2015-07-14,260845547,21226155,440637,39896894,16048839,675382,4051356,755644,2606626,4326535,34494000,436325,2357132,1789069
2015-07-15,251635024,20726987,426824,37449342,15320826,762393,3751202,768580,2447342,4198455,32189533,466590,2300028,1711941
2015-07-16,246994967,19568923,418980,40583411,15449948,659408,3434452,861001,2429070,3844018,31208946,473891,2286006,1781616
2015-07-17,234952802,18641536,415227,42059227,15534911,726937,2852464,740509,2528337,3741183,29785943,444563,2187878,1900023
2015-07-18,227727080,17872066,384372,39071218,14384468,722631,3003235,751858,2684719,3910979,32029467,274413,2217256,1706855
2015-07-19,244964019,22499733,525372,39628412,15958002,991942,3408536,967485,2944195,4829282,33635408,440821,2457073,2006154
2015-07-20,259802781,21692585,427334,40362981,16022922,782003,3564341,732079,2622031,4275394,33466716,414258,2349334,1802514
2015-07-21,252873968,20583317,426187,38583428,16422535,777535,3672292,780524,2680401,3965155,32472439,390370,2426043,1733142
2015-07-22,249171981,20223465,410312,38879956,15302672,722683,3626839,712970,2448890,3842841,32181341,379460,2325991,1825637
2015-07-23,249719091,19795141,427236,39886776,14825652,752519,3686402,745407,2476560,3868672,31957522,447837,2408200,1873626
2015-07-24,242932359,19636052,489557,39179274,14326683,738070,3757345,740637,2401118,3817731,29350110,416734,2410172,1763879
2015-07-25,235267986,19347096,398784,37248042,13503941,814063,3572438,756566,2781194,4144555,31849872,317059,2340169,1647235
2015-07-26,248140851,23472302,418047,39490129,15515080,847614,3620041,878670,2912450,4383249,30781844,324108,2518488,2005025
2015-07-27,258529123,21679377,428374,39238046,16013233,802948,3854059,744085,2666355,4394769,33693083,415374,2514369,1871472
2015-07-28,258683054,21689664,447978,39612413,15387369,923687,3772250,806781,2859620,4348798,33054054,455667,2655429,1829647
2015-07-29,264336559,20957018,542398,39859036,14933690,856017,3797401,854998,3133415,4294387,32503067,472244,2653478,1832867
2015-07-30,246860213,20524440,483161,38051916,14791644,702305,3695396,744938,2986985,4058977,30311750,506152,2387935,1807983
2015-07-31,237552925,19690752,422522,37130128,14159650,700468,3634923,763916,3011832,3818682,27902100,493588,2428108,1777912
2015-08-01,226800870,18421663,462107,36484250,13674850,632137,3582630,727599,2487484,3720063,28614604,302789,2303333,1788394
2015-08-02,239656517,21871766,440552,39874110,14172482,727157,3575761,780485,2688932,4404396,29304994,276325,2513776,1862675
2015-08-03,228375350,18055338,397141,37256240,13600780,643301,3282414,644823,2231920,3614900,28152279,336620,2478784,1630610
2015-08-04,250010790,20925642,481867,39585401,14986562,745675,3682748,795687,2516670,4548151,31921693,370822,2573584,1826526
2015-08-05,249349340,19990162,471499,38146354,14657231,739255,3732076,780820,2593358,4152554,31007280,382425,2629143,1746402
2015-08-06,246613997,20638690,443902,39285941,14788719,731022,3537298,798775,2486329,4066053,29903720,372830,2513862,1848497
2015-08-07,246034293,20078804,458416,39339455,14528362,919559,3555220,823601,2673818,4153535,30478704,361767,2559804,1746389
2015-08-08,231022687,19141137,440486,38591853,13357923,1317579,3429444,715684,2728034,3845970,30296703,303287,2436586,1823605
2015-08-09,248951046,23818698,454461,40154624,14500606,752919,3533106,845755,2588207,4562267,30695032,317409,2606661,1867444
2015-08-10,247047000,19898294,432398,41026174,14677353,768730,3359082,712299,2369380,4192610,30581736,360641,2627252,1727171
2015-08-11,253841323,20721275,441441,39888768,15121214,839726,3611953,781354,2637163,4522720,31645197,473892,2598007,1805546
2015-08-12,249387622,20104349,454958,40723637,14919320,901996,3614302,727588,2472048,4492894,31282962,363952,2638878,1784555
