DATAFLOW,LAST UPDATE,freq,unit,waste,wst_oper,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,AT,2009,92.6,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,AT,2010,92.2,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,AT,2011,93.7,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,AT,2012,94,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,AT,2013,96.1,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,AT,2014,96.2,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,AT,2015,96.3,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,AT,2016,95.7,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,AT,2017,95.3,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,AT,2018,95.2,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,AT,2019,95.4,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,AT,2020,94.4,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BE,2009,95.2,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BE,2010,95.5,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BE,2011,96.9,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BE,2012,97,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BE,2013,96.6,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BE,2014,99.2,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BE,2015,99.3,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BE,2016,99.8,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BE,2017,99.6,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BE,2018,99.6,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BE,2019,99.5,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BE,2020,98.9,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BG,2009,45.9,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BG,2010,62,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BG,2011,65.6,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BG,2012,67.5,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BG,2013,66,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BG,2014,62.2,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BG,2015,64.1,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BG,2016,63.8,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BG,2017,65.8,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BG,2018,60.5,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,BG,2019,61.4,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CY,2009,42.5,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CY,2010,50.1,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CY,2011,52,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CY,2012,55.7,e
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CY,2013,56.6,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CY,2014,58.7,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CY,2015,59.9,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CY,2016,67.6,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CY,2017,68.7,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CY,2018,70.1,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CY,2019,71.6,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CZ,2009,75.8,
ESTAT:TEN00062(1.0),20/10/22 11:00:00,A,PC,W1501,RCV,CZ,2010,77.9,
