DATAFLOW,LAST UPDATE,freq,unit,hazard,nace_r2,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,AT,2004,3441041,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,AT,2006,3711839,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,AT,2008,3819277,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,AT,2010,4622626,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,AT,2012,4020113,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,AT,2014,4170023,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,AT,2016,4268278,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,AT,2018,4407376,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,AT,2020,4630301,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BA,2012,0,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BA,2018,920541,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BA,2020,902567,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BE,2004,5325207,e
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BE,2006,4745161,e
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BE,2008,4459161,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BE,2010,5862032,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BE,2012,5294743,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BE,2014,5419042,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BE,2016,5041207,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BE,2018,4885123,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BE,2020,5342390,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BG,2004,2633592,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BG,2006,2928981,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BG,2008,2907121,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BG,2010,3529458,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BG,2012,2754523,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BG,2014,2683016,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BG,2016,2840316,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BG,2018,3145709,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,BG,2020,2312155,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CY,2004,367353,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CY,2006,356520,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CY,2008,432858,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CY,2010,461227,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CY,2012,369586,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CY,2014,323859,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CY,2016,394911,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CY,2018,386668,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CY,2020,378382,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CZ,2004,2841428,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CZ,2006,3482017,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CZ,2008,3176176,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CZ,2010,3334240,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CZ,2012,3232642,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CZ,2014,3260580,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CZ,2016,3579613,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CZ,2018,5804841,b
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,CZ,2020,6108373,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,DE,2004,38007849,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,DE,2006,34626019,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,DE,2008,35754996,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,DE,2010,36311611,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,DE,2012,36471810,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,DE,2014,36887634,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,DE,2016,37409896,
ESTAT:TEN00110(1.0),13/09/22 11:00:00,A,T,HAZ_NHAZ,EP_HH,TOTAL,DE,2018,37308892,
