DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2015-01,111.2,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2015-02,111.4,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2015-03,110.6,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2015-04,111.9,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2015-05,110.4,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2015-06,111.2,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2015-07,111.3,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2015-08,110.5,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2015-09,112.0,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2015-10,111.9,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2015-11,113.3,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2015-12,112.9,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2016-01,115.6,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2016-02,114.4,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2016-03,114.4,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2016-04,115.3,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2016-05,116.4,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2016-06,115.1,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2016-07,115.0,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2016-08,119.7,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2016-09,119.5,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2016-10,118.1,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2016-11,119.8,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2016-12,116.1,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2017-01,116.5,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2017-02,117.9,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2017-03,118.8,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2017-04,117.5,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2017-05,118.5,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2017-06,119.5,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2017-07,121.5,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2017-08,122.5,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2017-09,120.4,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2017-10,123.2,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2017-11,124.6,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,DE,2017-12,122.7,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2015-01,108.1,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2015-02,107.8,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2015-03,109.1,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2015-04,109.3,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2015-05,107.8,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2015-06,109.0,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2015-07,108.9,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2015-08,109.7,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2015-09,111.8,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2015-10,110.7,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2015-11,110.2,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2015-12,108.9,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2016-01,112.5,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2016-02,112.5,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2016-03,111.1,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2016-04,112.7,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2016-05,112.8,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2016-06,111.1,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2016-07,111.0,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2016-08,113.1,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2016-09,112.9,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2016-10,112.1,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2016-11,114.0,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2016-12,113.7,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2017-01,112.4,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2017-02,113.9,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2017-03,114.8,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2017-04,114.4,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2017-05,115.4,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2017-06,116.5,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2017-07,117.1,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2017-08,118.8,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2017-09,116.9,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2017-10,119.8,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2017-11,120.0,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EA19,2017-12,119.5,
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EL,2015-01,100.3,s
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EL,2015-02,103.3,s
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EL,2015-03,101.5,s
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EL,2015-04,103.8,s
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EL,2015-05,104.0,s
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EL,2015-06,99.6,s
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EL,2015-07,99.1,s
ESTAT:STS_INPR_M(1.0),05/11/22 11:00:00,M,PROD,C2222,SCA,I10,EL,2015-08,106.7,s
